3,-4.524293624417465
4,-4.524296630427369
5,-4.762941195020165
6,-4.762942765162153
7,-4.85666785595876
8,-4.856668675299862
9,-4.8936820007805695
10,-4.893682396945808
11,-4.9081719612024655
12,-4.908172100837297
13,-4.913787249206885
14,-4.913787321875353
15,-4.915944266421611
16,-4.915944284888754
17,-4.9167668632549395
18,-4.916766875599009
19,-4.917078734084371
20,-4.917078735378414
21,-4.9171963980035205
22,-4.917196399993313
23,-4.917240615324123
24,-4.917240614902877
25,-4.917257173856192
26,-4.917257174089151
27,-4.917263357645463
28,-4.9172633573045745
29,-4.9172656606091065
30,-4.9172656605551515
31,-4.917266516662482
32,-4.917266516466539
33,-4.917266834046108
34,-4.917266833962549
35,-4.917266951578707
36,-4.917266951463259
37,-4.917266994950281
38,-4.917266994879987
39,-4.917267010937553
40,-4.917267010863934
41,-4.917267016780281
42,-4.917267016726608
43,-4.917267018899129
44,-4.917267018848766
45,-4.917267019637031
46,-4.917267019596688
47,-4.917267019873051
48,-4.917267019836809
49,-4.917267019923546
