3,-4.1597406407597655
4,-4.159742776315564
5,-4.215724548686771
6,-4.215724889253403
7,-4.223075328912692
8,-4.223075317365406
9,-4.22399939275092
10,-4.223999392164636
11,-4.22411292190971
12,-4.224112911966687
13,-4.224126607473726
14,-4.224126603730561
15,-4.224128238367824
16,-4.224128235344506
17,-4.224128428489304
18,-4.224128426740263
19,-4.224128449434802
20,-4.224128448182556
21,-4.224128450829633
22,-4.2241284499671705
23,-4.224128450275493
24,-4.224128449642177
25,-4.224128449677677
26,-4.224128449206758
27,-4.224128449210884
28,-4.224128448850786
29,-4.224128448851227
30,-4.224128448571163
31,-4.2241284485712045
32,-4.2241284483495365
33,-4.224128448349529
34,-4.22412844817155
35,-4.224128448171541
36,-4.224128448026783
37,-4.224128448026776
38,-4.224128447907673
39,-4.224128447907668
40,-4.224128447808659
41,-4.224128447808653
42,-4.224128447725601
43,-4.224128447725599
44,-4.224128447655328
45,-4.224128447655326
46,-4.224128447595429
47,-4.224128447595426
48,-4.224128447544007
49,-4.224128447544002
