Puntos,Z,tiempo
50,25.13413373279558,0.02924060821533203
100,25.134132191224676,0.0537266731262207
200,25.134132097875153,0.09151721000671387
300,25.13413209296773,0.20926713943481445
500,25.134132091923693,0.5964620113372803
1000,25.13413209177879,2.5902414321899414
2000,25.134132091769754,10.791212797164917
3000,25.134132091769278,22.19697403907776
5000,25.13413209176917,70.45280265808105
